particleID,gravelometer_size
1,128
2,90
3,128
4,90
5,90
6,128
7,128
8,128
9,90
10,64
11,90
12,90
13,64
14,64
15,64
16,64
17,64
18,64
19,64
20,45
21,64
22,90
23,64
24,64
25,64
26,45
27,45
28,64
29,64
30,64
31,64
32,45
33,45
34,45
35,45
36,64
37,64
38,45
39,45
40,32
41,90
42,90
43,90
44,90
45,45
46,45
47,45
48,45
49,45
50,45
51,32
52,32
53,45
54,45
55,45
56,32
57,45
58,32
59,45
60,45
61,32
62,32
63,32
64,32
65,32
66,45
67,32
68,45
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,32
82,32
83,32
84,32
85,32
86,32
87,32
88,64
89,45
90,64
91,45
92,64
93,45
94,64
95,64
96,64
97,64
98,45
99,64
100,45
101,64
102,45
103,45
104,45
105,64
106,64
107,45
108,45
109,45
110,45
111,64
112,64
113,90
114,90
115,64
116,45
117,45
118,32
119,45
120,45
121,45
122,32
123,32
124,32
125,45
126,32
127,32
128,45
129,32
130,32
131,32
132,45
133,32
134,32
135,32
136,32
137,32
138,32
139,32
140,32
141,32
142,32
143,32
144,32
145,32
146,32
147,32
148,32
149,32
150,90
151,90
152,90
153,90
154,90
155,90
156,90
157,90
158,45
159,45
160,45
161,45
162,45
163,45
164,45
165,16
166,16
167,128
168,128
169,128
170,64
1001,11
1002,11
1003,11
1004,16
1005,16
1006,16
1007,16
1008,16
1009,16
1010,16
1011,16
1012,16
1013,16
1014,16
1015,16
1016,16
1017,16
1018,16
1019,16
1020,16
1021,16
1022,16
1023,16
1024,16
1025,16
1026,16
1027,16
1028,16
1029,16
1030,16
1031,16
1032,16
1033,16
1034,16
1035,16
1036,16
1037,16
1038,16
1039,22.6
1040,22.6
1041,22.6
1042,22.6
1043,22.6
1044,22.6
1045,22.6
1046,22.6
1047,22.6
1048,22.6
1049,22.6
1050,22.6
1051,22.6
1052,22.6
1053,22.6
1054,22.6
1055,22.6
1056,22.6
1057,22.6
1058,22.6
1059,22.6
1060,22.6
1061,22.6
1062,22.6
1063,22.6
1064,22.6
1065,22.6
1066,22.6
